city_name,year,Clear sky,Cloudy,Drizzle,Moderate Rain,Snow fall,Unknown,mean_annual_temperature
Abu Dhabi,1980,268.0,82.0,15.0,1.0,0.0,0.0,27.29071038251366
Abu Dhabi,1981,285.0,67.0,13.0,0.0,0.0,0.0,27.313150684931504
Abu Dhabi,1982,243.0,82.0,30.0,10.0,0.0,0.0,26.323013698630135
Abu Dhabi,1983,255.0,81.0,24.0,5.0,0.0,0.0,26.19369863013699
Abu Dhabi,1984,275.0,80.0,10.0,1.0,0.0,0.0,26.934699453551914
Abu Dhabi,1985,271.0,83.0,11.0,0.0,0.0,0.0,27.433972602739725
Abu Dhabi,1986,276.0,69.0,18.0,2.0,0.0,0.0,27.286301369863015
Abu Dhabi,1987,281.0,64.0,17.0,3.0,0.0,0.0,27.48054794520548
Abu Dhabi,1988,288.0,61.0,10.0,7.0,0.0,0.0,27.428415300546447
Abu Dhabi,1989,274.0,70.0,14.0,7.0,0.0,0.0,26.910684931506847
Abu Dhabi,1990,281.0,61.0,20.0,3.0,0.0,0.0,27.41287671232877
Abu Dhabi,1991,260.0,90.0,15.0,0.0,0.0,0.0,26.73068493150685
Abu Dhabi,1992,267.0,65.0,26.0,8.0,0.0,0.0,26.29453551912568
Abu Dhabi,1993,275.0,75.0,13.0,2.0,0.0,0.0,27.166027397260276
Abu Dhabi,1994,289.0,67.0,8.0,1.0,0.0,0.0,27.26958904109589
Abu Dhabi,1995,275.0,66.0,19.0,5.0,0.0,0.0,27.024383561643834
Abu Dhabi,1996,262.0,69.0,33.0,2.0,0.0,0.0,27.622677595628414
Abu Dhabi,1997,259.0,73.0,23.0,10.0,0.0,0.0,26.93643835616438
Abu Dhabi,1998,279.0,60.0,26.0,0.0,0.0,0.0,28.53835616438356
Abu Dhabi,1999,316.0,42.0,6.0,1.0,0.0,0.0,28.405205479452054
Abu Dhabi,2000,308.0,52.0,5.0,1.0,0.0,0.0,27.696174863387977
Abu Dhabi,2001,300.0,59.0,6.0,0.0,0.0,0.0,27.896438356164385
Abu Dhabi,2002,282.0,65.0,16.0,2.0,0.0,0.0,27.934246575342467
Abu Dhabi,2003,297.0,56.0,10.0,2.0,0.0,0.0,27.883835616438358
Abu Dhabi,2004,297.0,53.0,14.0,2.0,0.0,0.0,27.768032786885247
Abu Dhabi,2005,304.0,45.0,14.0,2.0,0.0,0.0,27.74958904109589
Abu Dhabi,2006,273.0,70.0,19.0,3.0,0.0,0.0,27.85753424657534
Abu Dhabi,2007,285.0,68.0,12.0,0.0,0.0,0.0,27.937260273972605
Abu Dhabi,2008,288.0,62.0,16.0,0.0,0.0,0.0,27.35027322404372
Abu Dhabi,2009,274.0,73.0,16.0,2.0,0.0,0.0,27.62246575342466
Abu Dhabi,2010,277.0,76.0,10.0,2.0,0.0,0.0,28.435068493150684
Abu Dhabi,2011,273.0,76.0,16.0,0.0,0.0,0.0,27.964109589041094
Abu Dhabi,2012,290.0,57.0,18.0,1.0,0.0,0.0,27.85409836065574
Abu Dhabi,2013,288.0,59.0,16.0,2.0,0.0,0.0,27.456438356164384
Abu Dhabi,2014,295.0,50.0,19.0,1.0,0.0,0.0,27.677808219178083
Abu Dhabi,2015,280.0,73.0,11.0,1.0,0.0,0.0,28.32904109589041
Abu Dhabi,2016,281.0,70.0,12.0,3.0,0.0,0.0,28.006284153005463
Abu Dhabi,2017,284.0,49.0,24.0,8.0,0.0,0.0,28.307945205479452
Abu Dhabi,2018,297.0,53.0,13.0,2.0,0.0,0.0,28.21095890410959
Abu Dhabi,2019,271.0,72.0,19.0,3.0,0.0,0.0,27.96082191780822
Abu Dhabi,2020,277.0,71.0,14.0,4.0,0.0,0.0,27.91857923497268
Abu Dhabi,2021,314.0,43.0,7.0,1.0,0.0,0.0,28.521369863013696
Abu Dhabi,2022,276.0,70.0,14.0,5.0,0.0,0.0,28.17808219178082
Abu Dhabi,2023,271.0,73.0,16.0,5.0,0.0,0.0,28.266027397260274
Abu Dhabi,2024,212.0,64.0,17.0,7.0,0.0,1.0,29.118729096989966
Amsterdam,1980,27.0,107.0,166.0,47.0,19.0,0.0,9.37704918032787
Amsterdam,1981,12.0,112.0,168.0,43.0,30.0,0.0,9.353972602739725
Amsterdam,1982,35.0,121.0,156.0,49.0,4.0,0.0,10.097808219178082
Amsterdam,1983,35.0,131.0,140.0,46.0,13.0,0.0,10.144109589041095
Amsterdam,1984,33.0,129.0,132.0,52.0,20.0,0.0,9.490983606557377
Amsterdam,1985,28.0,112.0,140.0,55.0,30.0,0.0,8.642191780821918
Amsterdam,1986,26.0,118.0,141.0,52.0,28.0,0.0,9.036986301369863
Amsterdam,1987,31.0,120.0,146.0,51.0,17.0,0.0,8.802191780821918
Amsterdam,1988,14.0,123.0,155.0,58.0,16.0,0.0,10.308469945355192
Amsterdam,1989,47.0,139.0,129.0,44.0,6.0,0.0,10.745753424657535
Amsterdam,1990,47.0,125.0,138.0,47.0,8.0,0.0,10.917534246575343
Amsterdam,1991,34.0,133.0,155.0,34.0,9.0,0.0,9.707123287671232
Amsterdam,1992,39.0,117.0,154.0,52.0,4.0,0.0,10.532513661202186
Amsterdam,1993,30.0,122.0,156.0,48.0,9.0,0.0,9.623013698630137
Amsterdam,1994,34.0,121.0,153.0,51.0,6.0,0.0,10.575342465753424
Amsterdam,1995,47.0,127.0,136.0,32.0,23.0,0.0,10.367671232876711
Amsterdam,1996,38.0,126.0,147.0,30.0,25.0,0.0,8.455464480874316
Amsterdam,1997,43.0,134.0,132.0,53.0,3.0,0.0,10.058630136986302
Amsterdam,1998,27.0,89.0,162.0,79.0,8.0,0.0,10.207671232876713
Amsterdam,1999,31.0,88.0,171.0,61.0,14.0,0.0,10.804931506849316
Amsterdam,2000,19.0,94.0,172.0,72.0,9.0,0.0,10.671584699453552
Amsterdam,2001,22.0,107.0,142.0,66.0,28.0,0.0,10.21041095890411
Amsterdam,2002,31.0,106.0,155.0,67.0,6.0,0.0,10.617808219178082
Amsterdam,2003,63.0,137.0,120.0,35.0,10.0,0.0,10.460547945205478
Amsterdam,2004,18.0,124.0,157.0,53.0,14.0,0.0,10.371038251366121
