city_name,year_month,temperature,weather_code,precipitation,daylight
Abu Dhabi,1980-01,18.03,Cloudy,0.19,10.8
Abu Dhabi,1980-02,20.03,Cloudy,0.42,11.34
Abu Dhabi,1980-03,23.06,Clear sky,0.02,12.03
Abu Dhabi,1980-04,27.83,Clear sky,0.0,12.74
Abu Dhabi,1980-05,30.4,Clear sky,0.0,13.34
Abu Dhabi,1980-06,31.87,Clear sky,0.0,13.63
Abu Dhabi,1980-07,34.3,Clear sky,0.0,13.48
Abu Dhabi,1980-08,33.85,Clear sky,0.01,12.96
Abu Dhabi,1980-09,32.14,Clear sky,0.0,12.28
Abu Dhabi,1980-10,29.56,Clear sky,0.0,11.57
Abu Dhabi,1980-11,25.45,Clear sky,0.0,10.96
Abu Dhabi,1980-12,20.75,Clear sky,0.06,10.65
Abu Dhabi,1981-01,20.28,Clear sky,0.03,10.81
Abu Dhabi,1981-02,20.08,Clear sky,0.01,11.34
Abu Dhabi,1981-03,23.31,Clear sky,0.09,12.02
Abu Dhabi,1981-04,27.61,Clear sky,0.1,12.74
Abu Dhabi,1981-05,29.61,Clear sky,0.06,13.33
Abu Dhabi,1981-06,31.61,Clear sky,0.0,13.63
Abu Dhabi,1981-07,33.52,Clear sky,0.0,13.48
Abu Dhabi,1981-08,33.98,Clear sky,0.0,12.97
Abu Dhabi,1981-09,32.34,Clear sky,0.0,12.29
Abu Dhabi,1981-10,29.12,Clear sky,0.0,11.58
Abu Dhabi,1981-11,24.5,Clear sky,0.03,10.96
Abu Dhabi,1981-12,21.31,Clear sky,0.0,10.65
Abu Dhabi,1982-01,18.92,Cloudy,0.06,10.81
Abu Dhabi,1982-02,17.99,Cloudy,1.76,11.33
Abu Dhabi,1982-03,20.96,Clear sky,1.38,12.02
Abu Dhabi,1982-04,25.13,Clear sky,0.0,12.73
Abu Dhabi,1982-05,30.16,Clear sky,0.0,13.33
Abu Dhabi,1982-06,31.77,Clear sky,0.0,13.63
Abu Dhabi,1982-07,33.22,Clear sky,0.0,13.49
Abu Dhabi,1982-08,32.86,Clear sky,0.0,12.97
Abu Dhabi,1982-09,32.41,Clear sky,0.0,12.29
Abu Dhabi,1982-10,29.67,Clear sky,0.02,11.58
Abu Dhabi,1982-11,23.8,Clear sky,0.04,10.97
Abu Dhabi,1982-12,18.43,Cloudy,0.69,10.65
Abu Dhabi,1983-01,17.41,Cloudy,0.11,10.81
Abu Dhabi,1983-02,17.23,Clear sky,1.05,11.33
Abu Dhabi,1983-03,19.66,Clear sky,0.4,12.01
Abu Dhabi,1983-04,23.24,Clear sky,1.68,12.72
Abu Dhabi,1983-05,31.1,Clear sky,0.01,13.32
Abu Dhabi,1983-06,31.96,Clear sky,0.0,13.63
Abu Dhabi,1983-07,33.04,Clear sky,0.0,13.49
