city_name,year,temperature,precipitation,snowfall,sunshine,shortwave_radiation
Abu Dhabi,1980,27.29,0.06,0.0,10.87,21.9
Abu Dhabi,1981,27.31,0.03,0.0,10.95,22.21
Abu Dhabi,1982,26.32,0.32,0.0,10.61,21.18
Abu Dhabi,1983,26.19,0.27,0.0,10.68,21.43
Abu Dhabi,1984,26.93,0.05,0.0,10.86,22.05
Abu Dhabi,1985,27.43,0.02,0.0,10.89,21.91
Abu Dhabi,1986,27.29,0.08,0.0,10.89,21.76
Abu Dhabi,1987,27.48,0.08,0.0,10.87,22.01
Abu Dhabi,1988,27.43,0.22,0.0,10.81,21.86
Abu Dhabi,1989,26.91,0.22,0.0,10.85,21.81
Abu Dhabi,1990,27.41,0.18,0.0,10.92,22.01
Abu Dhabi,1991,26.73,0.04,0.0,10.87,21.79
Abu Dhabi,1992,26.29,0.28,0.0,10.64,21.32
Abu Dhabi,1993,27.17,0.28,0.0,10.79,21.73
Abu Dhabi,1994,27.27,0.01,0.0,10.86,21.84
Abu Dhabi,1995,27.02,0.28,0.0,10.76,21.59
Abu Dhabi,1996,27.62,0.25,0.0,10.83,21.54
Abu Dhabi,1997,26.94,0.42,0.0,10.77,21.5
Abu Dhabi,1998,28.54,0.1,0.0,10.77,21.61
Abu Dhabi,1999,28.41,0.03,0.0,10.97,22.22
Abu Dhabi,2000,27.7,0.04,0.0,10.95,22.21
Abu Dhabi,2001,27.9,0.01,0.0,10.93,22.17
Abu Dhabi,2002,27.93,0.07,0.0,10.9,22.02
Abu Dhabi,2003,27.88,0.04,0.0,10.87,21.86
Abu Dhabi,2004,27.77,0.08,0.0,10.89,21.88
Abu Dhabi,2005,27.75,0.06,0.0,10.87,21.87
Abu Dhabi,2006,27.86,0.18,0.0,10.79,21.6
Abu Dhabi,2007,27.94,0.02,0.0,10.88,21.92
Abu Dhabi,2008,27.35,0.09,0.0,10.84,22.01
Abu Dhabi,2009,27.62,0.12,0.0,10.91,21.98
Abu Dhabi,2010,28.44,0.09,0.0,10.89,21.92
Abu Dhabi,2011,27.96,0.03,0.0,10.83,21.73
Abu Dhabi,2012,27.85,0.03,0.0,10.91,21.87
Abu Dhabi,2013,27.46,0.11,0.0,10.81,21.66
Abu Dhabi,2014,27.68,0.09,0.0,10.93,21.97
Abu Dhabi,2015,28.33,0.06,0.0,10.87,21.95
Abu Dhabi,2016,28.01,0.12,0.0,10.79,21.61
Abu Dhabi,2017,28.31,0.15,0.0,10.63,21.23
Abu Dhabi,2018,28.21,0.05,0.0,10.54,20.95
Abu Dhabi,2019,27.96,0.12,0.0,10.38,20.5
Abu Dhabi,2020,27.92,0.22,0.0,10.45,20.69
Abu Dhabi,2021,28.52,0.02,0.0,10.68,21.23
Abu Dhabi,2022,28.18,0.12,0.0,10.53,20.94
Abu Dhabi,2023,28.27,0.12,0.0,10.48,20.86
Abu Dhabi,2024,29.12,0.83,0.0,10.54,21.69
Amsterdam,1980,9.38,1.98,0.06,7.03,10.08
Amsterdam,1981,9.35,2.2,0.1,6.63,9.62
Amsterdam,1982,10.1,1.79,0.01,7.57,10.69
Amsterdam,1983,10.14,2.09,0.04,7.33,10.52
Amsterdam,1984,9.49,2.34,0.07,6.7,9.86
Amsterdam,1985,8.64,2.16,0.08,6.93,10.01
Amsterdam,1986,9.04,2.08,0.09,7.51,10.63
Amsterdam,1987,8.8,2.21,0.02,6.97,10.16
Amsterdam,1988,10.31,2.4,0.04,6.94,9.87
Amsterdam,1989,10.75,1.82,0.0,7.61,10.87
Amsterdam,1990,10.92,1.84,0.01,7.78,11.03
Amsterdam,1991,9.71,1.63,0.03,7.45,10.63
Amsterdam,1992,10.53,1.97,0.0,7.36,10.65
Amsterdam,1993,9.62,2.33,0.02,7.03,10.24
Amsterdam,1994,10.58,2.27,0.02,7.16,10.38
Amsterdam,1995,10.37,1.83,0.04,8.07,11.23
Amsterdam,1996,8.46,1.67,0.04,7.22,10.52
Amsterdam,1997,10.06,1.77,0.0,7.45,10.59
Amsterdam,1998,10.21,2.95,0.01,6.91,9.64
Amsterdam,1999,10.8,2.32,0.03,7.8,10.79
Amsterdam,2000,10.67,2.39,0.03,7.2,10.18
Amsterdam,2001,10.21,2.55,0.09,7.44,10.56
Amsterdam,2002,10.62,2.51,0.0,7.32,10.35
Amsterdam,2003,10.46,1.63,0.02,8.28,11.7
Amsterdam,2004,10.37,2.13,0.04,7.51,10.64
Amsterdam,2005,10.61,2.05,0.06,7.84,10.95
Amsterdam,2006,11.04,1.98,0.03,7.64,10.97
Amsterdam,2007,11.14,2.48,0.01,7.61,10.5
Amsterdam,2008,10.48,2.17,0.03,7.52,10.55
Amsterdam,2009,10.38,1.97,0.06,7.66,10.84
Amsterdam,2010,8.93,2.04,0.11,7.29,10.71
Amsterdam,2011,10.74,2.1,0.01,7.36,10.6
Amsterdam,2012,10.1,2.59,0.04,7.43,10.49
Amsterdam,2013,9.69,1.99,0.06,7.26,10.55
Amsterdam,2014,11.56,2.16,0.03,7.75,10.68
Amsterdam,2015,10.76,2.11,0.02,7.75,10.92
Amsterdam,2016,10.8,1.93,0.01,7.75,10.86
Amsterdam,2017,10.69,2.53,0.11,7.47,10.64
Amsterdam,2018,11.06,1.99,0.03,8.06,11.86
Amsterdam,2019,10.91,2.64,0.01,7.86,11.37
Amsterdam,2020,11.34,2.52,0.0,7.75,11.4
Amsterdam,2021,10.19,2.59,0.07,7.49,10.98
Amsterdam,2022,11.23,2.2,0.05,8.06,12.11
Amsterdam,2023,11.42,3.4,0.08,7.29,11.48
Amsterdam,2024,12.4,3.25,0.03,8.2,13.11
Athens,1980,16.94,1.22,0.0,9.91,16.83
Athens,1981,17.45,1.0,0.15,10.2,17.58
Athens,1982,17.03,1.32,0.0,9.75,16.7
Athens,1983,16.91,1.04,0.07,10.06,17.01
Athens,1984,17.28,1.23,0.0,10.01,16.97
Athens,1985,17.53,1.22,0.01,9.9,17.13
Athens,1986,17.65,0.73,0.0,10.01,17.21
Athens,1987,17.2,1.09,0.03,9.85,17.01
Athens,1988,17.71,1.21,0.01,9.9,17.17
Athens,1989,17.34,0.75,0.0,10.28,17.44
Athens,1990,18.13,0.56,0.0,10.29,17.71
Athens,1991,16.95,1.27,0.05,9.92,16.66
Athens,1992,17.02,0.72,0.02,10.02,17.25
Athens,1993,17.53,0.84,0.01,9.94,17.39
Athens,1994,18.23,1.32,0.01,10.18,17.52
Athens,1995,17.57,0.97,0.0,10.08,17.27
Athens,1996,17.22,1.3,0.0,9.81,16.74
Athens,1997,16.95,1.13,0.0,10.04,17.25
Athens,1998,17.67,1.48,0.0,9.89,17.31
Athens,1999,18.44,1.3,0.0,10.28,17.47
Athens,2000,17.9,0.5,0.0,10.46,17.81
Athens,2001,18.33,1.28,0.04,10.05,17.49
Athens,2002,17.73,1.8,0.03,9.91,17.03
Athens,2003,17.59,1.58,0.02,9.77,17.1
Athens,2004,17.65,1.05,0.05,10.14,17.35
Athens,2005,17.5,1.47,0.02,10.1,17.22
Athens,2006,17.33,1.25,0.06,10.11,17.19
Athens,2007,18.33,0.79,0.0,10.3,17.82
Athens,2008,18.25,0.86,0.01,10.25,17.68
Athens,2009,18.16,1.23,0.0,10.15,17.35
Athens,2010,18.85,1.05,0.0,10.07,17.27
Athens,2011,17.28,1.46,0.0,9.99,17.07
Athens,2012,18.55,1.15,0.02,10.16,17.6
Athens,2013,18.61,0.98,0.0,10.21,17.68
Athens,2014,18.58,1.45,0.0,10.04,17.15
Athens,2015,17.88,1.41,0.02,10.24,17.27
Athens,2016,18.62,0.84,0.0,10.32,17.69
Athens,2017,18.3,1.26,0.01,10.24,17.91
Athens,2018,18.65,1.65,0.0,9.86,17.27
Athens,2019,18.39,1.93,0.02,9.87,17.55
Athens,2020,18.34,1.58,0.0,10.07,17.7
Athens,2021,18.49,1.4,0.02,10.02,17.76
Athens,2022,18.31,0.97,0.02,10.0,18.03
Athens,2023,19.0,1.54,0.05,10.06,17.61
Athens,2024,21.21,0.88,0.0,10.66,19.92
Atlanta,1980,15.78,3.44,0.02,8.8,16.18
Atlanta,1981,15.4,2.96,0.0,8.98,16.33
Atlanta,1982,15.81,3.57,0.03,8.24,15.05
Atlanta,1983,15.03,3.77,0.03,8.57,15.78
Atlanta,1984,15.63,3.08,0.0,9.03,16.12
Atlanta,1985,15.74,3.09,0.01,8.46,15.46
Atlanta,1986,17.04,2.4,0.0,8.86,15.98
Atlanta,1987,16.21,2.66,0.07,8.97,16.3
Atlanta,1988,15.71,2.66,0.0,9.04,16.37
Atlanta,1989,15.6,3.77,0.01,8.37,15.11
Atlanta,1990,17.26,2.74,0.0,9.14,16.51
Atlanta,1991,16.3,3.52,0.02,7.98,14.76
Atlanta,1992,15.33,3.75,0.03,8.19,15.18
Atlanta,1993,16.02,2.96,0.04,8.77,16.18
Atlanta,1994,15.6,4.18,0.0,8.24,15.12
Atlanta,1995,16.13,2.95,0.01,8.79,15.89
Atlanta,1996,15.33,3.2,0.0,8.68,15.94
Atlanta,1997,15.55,3.42,0.01,8.4,15.56
Atlanta,1998,17.09,3.05,0.03,8.7,16.0
Atlanta,1999,16.6,2.2,0.0,9.03,16.3
Atlanta,2000,16.17,2.26,0.03,9.11,16.55
Atlanta,2001,15.95,3.03,0.0,9.01,16.25
Atlanta,2002,16.24,3.29,0.02,8.42,15.51
Atlanta,2003,15.41,3.5,0.0,8.48,15.35
Atlanta,2004,16.17,3.07,0.0,8.67,15.55
Atlanta,2005,15.88,3.56,0.0,8.68,15.7
Atlanta,2006,16.85,2.45,0.0,9.36,16.63
Atlanta,2007,17.3,2.18,0.0,9.39,16.85
Atlanta,2008,16.24,2.78,0.02,9.09,16.44
Atlanta,2009,15.64,4.31,0.01,8.28,15.09
Atlanta,2010,16.02,2.6,0.04,9.5,17.0
Atlanta,2011,17.15,2.52,0.02,9.29,16.95
Atlanta,2012,17.51,2.83,0.0,9.09,16.29
Atlanta,2013,15.49,3.55,0.0,8.18,15.12
Atlanta,2014,15.58,2.87,0.04,9.05,16.34
Atlanta,2015,16.78,3.87,0.02,8.31,15.16
Atlanta,2016,17.63,2.31,0.0,9.52,16.92
Atlanta,2017,16.71,4.36,0.03,8.68,15.73
Atlanta,2018,15.84,5.34,0.01,8.03,15.05
Atlanta,2019,17.22,4.22,0.0,8.72,16.13
Atlanta,2020,16.45,4.78,0.01,8.51,15.54
Atlanta,2021,16.26,5.3,0.0,8.5,15.68
Atlanta,2022,16.1,4.55,0.01,8.79,16.68
Atlanta,2023,16.85,3.87,0.0,8.73,16.73
Atlanta,2024,18.43,4.18,0.0,9.46,18.66
Auckland,1980,14.56,3.0,0.0,9.43,15.53
Auckland,1981,15.16,2.63,0.0,9.51,15.65
Auckland,1982,14.4,2.46,0.0,9.82,16.11
Auckland,1983,14.37,2.69,0.0,9.15,15.34
Auckland,1984,14.99,2.95,0.0,9.71,16.12
Auckland,1985,14.91,3.35,0.0,9.64,16.01
Auckland,1986,14.89,2.65,0.0,9.79,16.04
Auckland,1987,14.81,2.68,0.0,9.63,15.93
Auckland,1988,15.31,3.34,0.0,9.16,15.42
Auckland,1989,15.09,3.69,0.0,9.19,15.52
Auckland,1990,15.33,2.64,0.0,9.74,16.04
Auckland,1991,14.47,2.76,0.0,9.72,16.19
Auckland,1992,14.05,2.92,0.0,9.3,15.41
Auckland,1993,14.1,2.37,0.0,9.42,15.74
Auckland,1994,14.61,2.25,0.0,9.92,16.43
Auckland,1995,15.05,3.21,0.0,9.35,15.58
Auckland,1996,14.87,3.65,0.0,9.28,15.79
Auckland,1997,14.55,2.99,0.0,9.33,15.66
Auckland,1998,16.14,3.22,0.0,9.17,15.74
Auckland,1999,15.42,2.39,0.0,9.5,15.84
Auckland,2000,15.09,2.62,0.0,9.63,16.0
Auckland,2001,15.19,3.25,0.0,9.25,15.33
Auckland,2002,15.03,2.58,0.0,9.79,16.2
Auckland,2003,15.01,2.99,0.0,9.28,15.65
Auckland,2004,14.44,3.14,0.0,9.45,15.81
Auckland,2005,15.48,2.59,0.0,9.85,16.33
Auckland,2006,14.69,2.63,0.0,9.73,16.1
Auckland,2007,15.21,3.13,0.0,9.4,15.61
Auckland,2008,15.28,2.91,0.0,9.37,15.99
Auckland,2009,14.72,2.89,0.0,9.37,15.93
Auckland,2010,15.45,2.58,0.0,9.62,16.01
